name,dist,alt,ful,time,lat,lon
ELTOX,1940.896,11887,60100,0,40.1,43.367222222222225
INDUR,1966.824,11887,60000,0,40.1025,43.6525
REBGI,2046.46,11887,59500,0,40.235,44.56861111111111
PEMAN,2139.06,11887,58900,0,40.38472222222222,45.63472222222222
EDATA,2272.404,11887,58100,0,40.60111111111111,47.18333333333333
LIMTI,2296.48,11887,57900,0,40.73444444444444,47.385555555555555
BEKIR,2350.188,11887,57600,0,41.05138888888889,47.884166666666665
LEYLA,2359.448,11887,57500,0,41.10166666666667,47.96888888888889
OKTAT,2418.712,11887,57100,0,41.41777777777778,48.550555555555555
LEKBA,2437.232,11887,57000,0,41.51833333333333,48.73416666666667
ABTEK,2494.644,11887,56600,0,41.801944444444445,49.30083333333334
GASBI,2613.172,11887,55800,0,42.43388888888889,50.46722222222222
ARLIF,2653.916,11887,54300,0,43.65138888888889,52.66861111111111
RELGE,2696.512,11887,54100,0,43.88361111111111,53.10138888888889
TITIL,2846.524,11887,53100,0,44.651944444444446,54.63388888888889
MASAV,2909.492,11887,52700,0,45.08361111111111,55.16916666666667
DIVNO,2931.716,11887,51300,0,45.73416666666667,57.666666666666664
ABDUN,3100.248,11887,50300,0,46.218333333333334,59.7175
RITET,3142.844,11887,48800,0,46.818333333333335,62.5675
ARKAM,3298.412,11887,47800,0,47.185,64.53416666666666
BAGED,3335.452,11887,47600,0,47.268055555555556,65.00083333333333
TIROK,3400.272,11887,47200,0,47.4025,65.835
ABURA,3468.796,11887,46800,0,47.55222222222222,66.71722222222222
DZG,3548.432,11887,46300,0,47.7175,67.75194444444445
AMASO,3628.068,11887,45800,0,47.81722222222222,68.81666666666666
DERAD,3765.116,11887,44900,0,47.76833333333333,70.63361111111111
UNABO,3854.012,11887,44400,0,47.719166666666666,71.81833333333333
MADEV,3879.94,11887,41900,0,47.31666666666667,77.0513888888889
RUDIZ,4039.212,11887,40900,0,47.184444444444445,79.13583333333334
GOMAL,4092.92,11887,40600,0,47.13388888888889,79.85222222222222
BURID,4179.964,11887,40000,0,47.035,81.0025
GILAK,4250.34,11887,39600,0,46.95166666666667,81.91833333333334
SARIN,4324.42,11887,39100,0,46.8525,82.88416666666667
TCH,4367.016,10698,39000,0,46.65138888888889,83.36694444444444
OSUPO,4441.096,10698,38500,0,46.2525,84.13555555555556
SALMO,4544.808,10698,37800,0,45.685833333333335,85.2175
OMKEN,4702.228,10698,36800,0,44.833333333333336,86.8
IKARA,4722.6,10698,36700,0,44.7175,86.985
UGPEL,4752.232,10698,36500,0,44.55027777777778,87.2838888888889
VARMI,4792.976,10698,36200,0,44.33361111111111,87.6836111111111
FKG,4822.608,10698,36000,0,44.16777777777778,87.98333333333333
ADPET,4961.508,10698,35100,0,44.41694444444445,89.685
ESGIV,5074.48,10698,34400,0,44.117222222222225,91.0338888888889
DAKPA,5107.816,10698,34200,0,44.01888888888889,91.41777777777777
RIMDU,5241.16,10698,33300,0,43.63583333333333,92.98388888888888
BATUS,5420.804,10698,32200,0,43.11833333333333,95.0838888888889
LIKMI,5518.96,10698,31600,0,42.384166666666665,95.76666666666667
BOTKI,5543.036,10698,30400,0,42.28527777777778,98.30222222222223
POPIB,5583.78,10698,29200,0,42.11805555555556,101.035
BUVEM,5730.088,10698,28300,0,41.66861111111111,102.70083333333334
NOLOM,5756.016,10698,28200,0,41.58583333333333,102.98444444444445
IPDAT,5783.796,10698,28000,0,41.350833333333334,102.98416666666667
P538,5904.176,10698,27200,0,40.2675,102.985
DAMRO,5993.072,10698,26600,0,39.467777777777776,102.98527777777778
ELRUB,6006.036,10698,26500,0,39.35138888888889,102.98527777777778
TUNVA,6185.68,10698,25400,0,38.76694444444445,104.91805555555555
OPULI,6200.496,10698,25300,0,38.73361111111111,105.08416666666666
P137,6281.984,10698,24900,0,38.46805555555556,105.9675
NIRUV,6294.948,10698,24800,0,38.43361111111111,106.10222222222222
YHD,6322.728,10698,24600,0,38.33555555555556,106.40166666666667
MIMOK,6441.256,10698,24000,0,38.2,107.75
LUVES,6491.26,10698,23700,0,38.135555555555555,108.30111111111111
OKISO,6576.452,10698,23200,0,38.05222222222222,109.26777777777778
APOGO,6698.684,10698,22600,0,37.91888888888889,110.6525
LEBOM,6772.764,10698,22100,0,37.85138888888889,111.5
OMKAK,6791.284,10698,22000,0,37.83361111111111,111.71666666666667
GODON,6846.844,10698,21700,0,37.768055555555556,112.35027777777778
AGVUR,6870.92,10698,21600,0,37.75,112.61694444444444
EXORI,6885.736,10089,21600,0,37.617777777777775,112.65194444444444
ANPIG,6950.556,10089,21100,0,37.05083333333334,112.85
SQ,7043.156,10089,20500,0,36.23444444444444,113.11666666666666
PADNO,7089.456,10089,20200,0,35.83555555555556,113.285
TAMIX,7117.236,10089,20000,0,35.60194444444444,113.38583333333334
NOPIN,7137.608,10089,19900,0,35.43555555555555,113.4675
ISNAG,7206.132,10089,19400,0,34.852222222222224,113.71888888888888
CGO,7245.024,10089,19200,0,34.51694444444445,113.835
P295,7324.66,10089,18700,0,33.8175,114.05166666666666
KAMDA,7376.516,10089,18300,0,33.36666666666667,114.20055555555555
IGMIG,7400.592,10089,18200,0,33.28388888888889,114.45083333333334
DUDBI,7426.52,10089,18000,0,33.20111111111111,114.7025
ATMEM,7461.708,10089,17800,0,32.88361111111111,114.68333333333334
P123,7485.784,10089,17600,0,32.651666666666664,114.65222222222222
ENLAB,7517.268,10089,17400,0,32.38333333333333,114.63388888888889
TOD,7617.276,10089,16700,0,31.468888888888888,114.55
AVLEN,7643.204,0,16600,0,31.235277777777778,114.51833333333333
DHP,7685.8,0,16600,0,30.86722222222222,114.46722222222222
MOU,7743.212,0,16400,0,30.601944444444445,114.98416666666667
AGUXI,7756.176,0,16400,0,30.485833333333332,114.96666666666667
EC404,7791.364,0,16300,0,30.184166666666666,114.90055555555556
ZHEC,7811.736,0,16000,1775127960000,30.342777777777776,115.02972222222222
