alt,an,dis,fi,gateway_time,lat,lon,posPointName,sAlt,type
10660.380000000001,B-2079,0,I99806,2026-04-20 05:17:35,36.63152777777778,28.356288888888887,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:18:05,36.64317777777778,28.44003888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:18:37,36.654669444444444,28.52400833333333,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:19:07,36.66631944444445,28.609708333333334,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:19:35,36.67743888888889,28.69149722222222,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:19:53,36.68751944444445,28.735308333333332,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:20:09,36.70627777777778,28.778288888888888,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:20:29,36.73479722222222,28.81747777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:20:49,36.76945,28.848608333333335,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:21:19,36.82287777777778,28.893127777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:21:49,36.877719444444445,28.937869444444445,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:22:21,36.93235833333333,28.982769444444443,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:22:51,36.98723888888889,29.02815,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:23:19,37.041177777777776,29.0731,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:23:51,37.09643888888888,29.11914722222222,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:24:21,37.150688888888894,29.164638888888888,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:24:49,37.20254722222223,29.208319444444445,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:25:21,37.25966944444444,29.256227777777777,POS,-1.0,ADSB
10668,,0,,2026-04-20 05:25:45,37.314,29.302,POS,,ACARS
10668.0,B-2079,0,I99806,2026-04-20 05:25:51,37.31327777777778,29.30117777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:26:21,37.36632777777778,29.345647222222222,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:26:51,37.42017777777778,29.39122777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:27:23,37.477288888888886,29.43978888888889,POS,-1.0,ADSB
10675.62,B-2079,0,I99806,2026-04-20 05:27:57,37.53762777777778,29.49065,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:28:25,37.59143888888889,29.535847222222223,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:28:57,37.64534722222222,29.58135,POS,-1.0,ADSB
10660.380000000001,B-2079,0,I99806,2026-04-20 05:29:27,37.69788888888889,29.625858333333333,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:29:57,37.75525,29.67459722222222,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:30:29,37.80916944444445,29.720297222222225,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:30:59,37.86305,29.7643,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:31:33,37.92383888888889,29.814258333333335,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:32:07,37.978199999999994,29.874927777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:32:53,38.03861944444444,29.973327777777776,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:33:23,38.081408333333336,30.04605833333333,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:33:55,38.12127777777778,30.114338888888888,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:34:25,38.16063888888888,30.181708333333333,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:34:55,38.19996944444445,30.249038888888887,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:35:27,38.24293888888889,30.32297777777778,POS,-1.0,ADSB
10637,,0,,2026-04-20 05:35:44,38.274,30.377,POS,,ACARS
10668.0,B-2079,0,I99806,2026-04-20 05:35:57,38.28016944444444,30.386958333333332,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:36:27,38.32212777777778,30.459297222222222,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:36:57,38.361327777777774,30.52688888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:37:27,38.39949722222222,30.593038888888888,POS,-1.0,ADSB
