name,dist,alt,ful,time,lat,lon
IGMIG,6917.22,10698,16600,0,33.28388888888889,114.45083333333334
DUDBI,6943.148,10698,16500,0,33.20111111111111,114.7025
ATMEM,6978.336,10394,16200,0,32.88361111111111,114.68333333333334
P123,7002.412,10394,16000,0,32.651666666666664,114.65222222222222
ENLAB,7033.896,10394,15800,0,32.38333333333333,114.63388888888889
TOD,7107.976,10394,15200,0,31.701666666666668,114.56722222222223
AVLEN,7159.832,0,15100,0,31.235277777777778,114.51833333333333
DHP,7202.428,0,15000,0,30.86722222222222,114.46722222222222
MOU,7259.84,0,14900,0,30.601944444444445,114.98416666666667
AGUXI,7272.804,0,14900,0,30.485833333333332,114.96666666666667
EC404,7307.992,0,14700,0,30.184166666666666,114.90055555555556
EC403,7315.4,0,14700,0,30.11916666666667,114.88472222222222
ZHEC,7341.328,0,14400,1772934240000,30.342777777777776,115.02972222222222
